chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Bitumen.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Bitumen,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Bitumen.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Black_liqour.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Black liqour,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Charcoal.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Charcoal,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Coal_nonspecified.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Electricity.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Electricity,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Ethane.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Ethane,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Ethane.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Fuel_oil.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Fuel oil,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Fuel_oil.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Fuelwood___woodwaste.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Gas_diesel_oil.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Gasoline_type_jet_fuel.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Gasoline type jet fuel,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Gasoline_type_jet_fuel.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Heat.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Heat,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Industrial_waste.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Industrial waste,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Kerosene.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Kerosene,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Kerosene.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Kerosene_type_jet_fuel.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Kerosene type jet fuel,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__LPG.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),LPG,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Lubricants.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Lubricants,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Lubricants.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Municipal_solid_waste__renewable.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Naphtha.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Naphtha,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Naphtha.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Natural_gas.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Natural gas,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_biomass.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Other biomass,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_biomass.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_bituminous_coal.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_liquid_biofuels.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_products.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Other products,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_products.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_sources.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Other sources,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Other_sources.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Others.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Others,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Others.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Paraffin_waxes.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Paraffin waxes,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Paraffin_waxes.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__PetProd_nonspecified.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),PetProd nonspecified,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__PetProd_nonspecified.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Petroleum_coke.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Petroleum coke,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Petroleum_coke.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Refinery_gas__not_liquefied.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Refinery gas (not liquefied),charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Refinery_gas__not_liquefied.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Solid_biomass.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Solid biomass,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Solid_biomass.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Sub-bituminous_coal.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),Sub-bituminous coal,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__White_spirit_SBP.html,"Industry > Manufacturing > Pulp, paper and printing",esto__14_03_08__Pulp__paper_and_printing,Energy balance (PJ),White spirit SBP,charts/esto__14_03_08__Pulp__paper_and_printing__Energy_balance__PJ__White_spirit_SBP.html,sec-Industry__Manufacturing__Pulp__paper_and_printing,"Pulp, paper and printing",direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Anthracite.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Anthracite,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Anthracite.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Coal_nonspecified.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Electricity,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Heat,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Natural_gas.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Natural gas,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Other_bituminous_coal.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Other bituminous coal,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Other_bituminous_coal.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Sub-bituminous_coal.html,Industry > Manufacturing > Textiles and leather,esto__14_03_10__Textiles_and_leather,Energy balance (PJ),Sub-bituminous coal,charts/esto__14_03_10__Textiles_and_leather__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Industry__Manufacturing__Textiles_and_leather,Textiles and leather,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Bagasse.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Bagasse,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Bagasse.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biodiesel.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Biodiesel,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biodiesel.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biogas.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Biogas,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biogas.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biogasoline.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Biogasoline,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Biogasoline.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Black_liqour.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Black liqour,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Charcoal.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Charcoal,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Electricity,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Fuel_oil.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Fuel oil,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Fuel_oil.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Heat.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Heat,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Heat.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Industrial_waste.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Industrial waste,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__LPG.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),LPG,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__LPG.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Natural_gas.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Natural gas,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Natural_gas.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_biomass.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Other biomass,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_biomass.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_liquid_biofuels.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Other liquid biofuels,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_sources.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Other sources,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Other_sources.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Others.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Others,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Others.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Solid_biomass.html,Industry > Manufacturing > Transportation equipment,esto__14_03_05__Transportation_equipment,Energy balance (PJ),Solid biomass,charts/esto__14_03_05__Transportation_equipment__Energy_balance__PJ__Solid_biomass.html,sec-Industry__Manufacturing__Transportation_equipment,Transportation equipment,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Bagasse.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Bagasse,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Bagasse.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biodiesel.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Biodiesel,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biodiesel.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biogas.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Biogas,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biogas.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biogasoline.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Biogasoline,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Biogasoline.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Black_liqour.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Black liqour,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Black_liqour.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Charcoal.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Charcoal,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Charcoal.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Electricity.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Electricity,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Electricity.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Fuel_oil.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Fuel oil,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Fuel_oil.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
chart::charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Manufacturing > Wood and wood products,esto__14_03_09__Wood_and_wood_products,Energy balance (PJ),Gas/diesel oil,charts/esto__14_03_09__Wood_and_wood_products__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Manufacturing__Wood_and_wood_products,Wood and wood products,direct
