chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Motor_gasoline.html,Bunkers > International aviation bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Motor gasoline,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Motor_gasoline.html,sec-Bunkers__International_aviation_bunkers,International aviation bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Fuel_oil.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Fuel oil,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Fuel_oil.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Gas_diesel_oil.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Gas/diesel oil,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Gas_diesel_oil.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LNG.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),LNG,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LNG.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LPG.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),LPG,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LPG.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Motor_gasoline.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Motor gasoline,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Motor_gasoline.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Natural_gas.html,Bunkers > International marine bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Natural gas,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Natural_gas.html,sec-Bunkers__International_marine_bunkers,International marine bunkers,direct
chart::charts/aggregate__Industry_sector__Energy_balance__PJ__Total.html,Industry,Industry,Energy balance (PJ),Total,charts/aggregate__Industry_sector__Energy_balance__PJ__Total.html,sec-Industry_sector,Industry sector,aggregate
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Bagasse.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Bagasse,charts/esto__14_02__Construction__Energy_balance__PJ__Bagasse.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Bio_jet_kerosene.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Bio jet kerosene,charts/esto__14_02__Construction__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biodiesel.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Biodiesel,charts/esto__14_02__Construction__Energy_balance__PJ__Biodiesel.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biogas.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Biogas,charts/esto__14_02__Construction__Energy_balance__PJ__Biogas.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biogasoline.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Biogasoline,charts/esto__14_02__Construction__Energy_balance__PJ__Biogasoline.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Black_liqour.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Black liqour,charts/esto__14_02__Construction__Energy_balance__PJ__Black_liqour.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Charcoal.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Charcoal,charts/esto__14_02__Construction__Energy_balance__PJ__Charcoal.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Electricity.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Electricity,charts/esto__14_02__Construction__Energy_balance__PJ__Electricity.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_02__Construction__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Gas_diesel_oil.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Gas/diesel oil,charts/esto__14_02__Construction__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Industrial_waste.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Industrial waste,charts/esto__14_02__Construction__Energy_balance__PJ__Industrial_waste.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__LPG.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),LPG,charts/esto__14_02__Construction__Energy_balance__PJ__LPG.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry__Construction,Construction,direct
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Natural_gas.html,Industry > Construction,esto__14_02__Construction,Energy balance (PJ),Natural gas,charts/esto__14_02__Construction__Energy_balance__PJ__Natural_gas.html,sec-Industry__Construction,Construction,direct
