economy,scenario,region,sheet_name,sector_code_9th,sector_name,fuel_label,year,leap_value,leap_variable,leap_units,measure,leap_scale_note,ninth_fuel_code,esto_flow,esto_product,source_sheet,source_workbook,leap_sector,leap_fuel,leap_sector_name,leap_fuel_name
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2025,184.2178274270473,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2025,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2026,187.89768723605775,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2026,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2027,191.5311393065309,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2027,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2028,195.11774177791338,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2028,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2029,198.65706698093877,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2029,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2030,202.14870041593636,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2030,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2031,205.59224149406182,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2031,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2032,208.98730250982024,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2032,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2033,212.3335091873723,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2033,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Electricity,2034,215.63049999983622,Energy Balance,Petajoule,Energy balance (PJ),,17_electricity,14.03.05 Transportation equipment,17 Electricity,EBal|2034,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,17_electricity,Transportation equipment,Electricity
