chart_group_id,dashboard_path,sheet,measure,fuel_label,chart_file,section_id,section_label,entry_kind,exposed_in_dashboard
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Motor_gasoline.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Motor gasoline,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Motor_gasoline.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Other_biomass.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Other biomass,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Other_biomass.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Other_bituminous_coal.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Other bituminous coal,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Other_bituminous_coal.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Solar_nonspecified.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Solar nonspecified,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Solar_nonspecified.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Sub-bituminous_coal.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Sub-bituminous coal,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Sub-bituminous_coal.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Total.html,Buildings,esto__16_01__Commercial_and_public_services,Energy balance (PJ),Total,charts/esto__16_01__Commercial_and_public_services__Energy_balance__PJ__Total.html,sec-Buildings,Buildings,direct,False
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Biodiesel.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Biodiesel,charts/esto__16_02__Residential__Energy_balance__PJ__Biodiesel.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Electricity.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Electricity,charts/esto__16_02__Residential__Energy_balance__PJ__Electricity.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Gas_diesel_oil.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Gas/diesel oil,charts/esto__16_02__Residential__Energy_balance__PJ__Gas_diesel_oil.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Geothermal.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Geothermal,charts/esto__16_02__Residential__Energy_balance__PJ__Geothermal.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Kerosene.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Kerosene,charts/esto__16_02__Residential__Energy_balance__PJ__Kerosene.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__LPG.html,Buildings,esto__16_02__Residential,Energy balance (PJ),LPG,charts/esto__16_02__Residential__Energy_balance__PJ__LPG.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Other_biomass.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Other biomass,charts/esto__16_02__Residential__Energy_balance__PJ__Other_biomass.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Solar_nonspecified.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Solar nonspecified,charts/esto__16_02__Residential__Energy_balance__PJ__Solar_nonspecified.html,sec-Buildings,Buildings,direct,True
chart::charts/esto__16_02__Residential__Energy_balance__PJ__Total.html,Buildings,esto__16_02__Residential,Energy balance (PJ),Total,charts/esto__16_02__Residential__Energy_balance__PJ__Total.html,sec-Buildings,Buildings,direct,False
chart::charts/aggregate__Bunkers__Energy_balance__PJ__Total.html,Bunkers,Bunkers,Energy balance (PJ),Total,charts/aggregate__Bunkers__Energy_balance__PJ__Total.html,sec-Bunkers,Bunkers,aggregate,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Fuel_oil.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Fuel oil,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Fuel_oil.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Gas_diesel_oil.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Gas/diesel oil,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Gas_diesel_oil.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LNG.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),LNG,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LNG.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LPG.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),LPG,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__LPG.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Motor_gasoline.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Motor gasoline,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Motor_gasoline.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Natural_gas.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Natural gas,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Natural_gas.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Total.html,Bunkers,esto__04__International_marine_bunkers,Energy balance (PJ),Total,charts/esto__04__International_marine_bunkers__Energy_balance__PJ__Total.html,sec-Bunkers,Bunkers,direct,False
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Aviation_gasoline.html,Bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Aviation gasoline,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Aviation_gasoline.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Hydrogen.html,Bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Hydrogen,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Hydrogen.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Kerosene_type_jet_fuel.html,Bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Kerosene type jet fuel,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Kerosene_type_jet_fuel.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Motor_gasoline.html,Bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Motor gasoline,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Motor_gasoline.html,sec-Bunkers,Bunkers,direct,True
chart::charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Total.html,Bunkers,esto__05__International_aviation_bunkers,Energy balance (PJ),Total,charts/esto__05__International_aviation_bunkers__Energy_balance__PJ__Total.html,sec-Bunkers,Bunkers,direct,False
chart::charts/aggregate__Industry_sector__Energy_balance__PJ__Total.html,Industry,Industry,Energy balance (PJ),Total,charts/aggregate__Industry_sector__Energy_balance__PJ__Total.html,sec-Industry_sector,Industry sector,aggregate,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Bagasse.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Bagasse,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Bagasse.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Bio_jet_kerosene.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Bio jet kerosene,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biodiesel.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Biodiesel,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biodiesel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biogas.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Biogas,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biogas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biogasoline.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Biogasoline,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Biogasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Black_liqour.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Black liqour,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Black_liqour.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Charcoal.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Charcoal,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Charcoal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Electricity.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Electricity,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Electricity.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Fuel_oil.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Fuel oil,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Fuel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Gas_diesel_oil.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Gas/diesel oil,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Industrial_waste.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Industrial waste,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Industrial_waste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Motor_gasoline.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Motor gasoline,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Motor_gasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Natural_gas.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Natural gas,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Natural_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_biomass.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Other biomass,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_liquid_biofuels.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Other liquid biofuels,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_sources.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Other sources,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Other_sources.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Others.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Others,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Others.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Solid_biomass.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Solid biomass,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Solid_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Total.html,Industry,esto__14_01__Mining_and_quarrying,Energy balance (PJ),Total,charts/esto__14_01__Mining_and_quarrying__Energy_balance__PJ__Total.html,sec-Industry_sector,Industry sector,direct,False
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Bagasse.html,Industry,esto__14_02__Construction,Energy balance (PJ),Bagasse,charts/esto__14_02__Construction__Energy_balance__PJ__Bagasse.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Bio_jet_kerosene.html,Industry,esto__14_02__Construction,Energy balance (PJ),Bio jet kerosene,charts/esto__14_02__Construction__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biodiesel.html,Industry,esto__14_02__Construction,Energy balance (PJ),Biodiesel,charts/esto__14_02__Construction__Energy_balance__PJ__Biodiesel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biogas.html,Industry,esto__14_02__Construction,Energy balance (PJ),Biogas,charts/esto__14_02__Construction__Energy_balance__PJ__Biogas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Biogasoline.html,Industry,esto__14_02__Construction,Energy balance (PJ),Biogasoline,charts/esto__14_02__Construction__Energy_balance__PJ__Biogasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Black_liqour.html,Industry,esto__14_02__Construction,Energy balance (PJ),Black liqour,charts/esto__14_02__Construction__Energy_balance__PJ__Black_liqour.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Charcoal.html,Industry,esto__14_02__Construction,Energy balance (PJ),Charcoal,charts/esto__14_02__Construction__Energy_balance__PJ__Charcoal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Electricity.html,Industry,esto__14_02__Construction,Energy balance (PJ),Electricity,charts/esto__14_02__Construction__Energy_balance__PJ__Electricity.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Fuelwood___woodwaste.html,Industry,esto__14_02__Construction,Energy balance (PJ),Fuelwood & woodwaste,charts/esto__14_02__Construction__Energy_balance__PJ__Fuelwood___woodwaste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Gas_diesel_oil.html,Industry,esto__14_02__Construction,Energy balance (PJ),Gas/diesel oil,charts/esto__14_02__Construction__Energy_balance__PJ__Gas_diesel_oil.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Industrial_waste.html,Industry,esto__14_02__Construction,Energy balance (PJ),Industrial waste,charts/esto__14_02__Construction__Energy_balance__PJ__Industrial_waste.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__LPG.html,Industry,esto__14_02__Construction,Energy balance (PJ),LPG,charts/esto__14_02__Construction__Energy_balance__PJ__LPG.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,Industry,esto__14_02__Construction,Energy balance (PJ),Municipal solid waste (non-renewable),charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__non-renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__renewable.html,Industry,esto__14_02__Construction,Energy balance (PJ),Municipal solid waste (renewable),charts/esto__14_02__Construction__Energy_balance__PJ__Municipal_solid_waste__renewable.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Natural_gas.html,Industry,esto__14_02__Construction,Energy balance (PJ),Natural gas,charts/esto__14_02__Construction__Energy_balance__PJ__Natural_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_biomass.html,Industry,esto__14_02__Construction,Energy balance (PJ),Other biomass,charts/esto__14_02__Construction__Energy_balance__PJ__Other_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_liquid_biofuels.html,Industry,esto__14_02__Construction,Energy balance (PJ),Other liquid biofuels,charts/esto__14_02__Construction__Energy_balance__PJ__Other_liquid_biofuels.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Other_sources.html,Industry,esto__14_02__Construction,Energy balance (PJ),Other sources,charts/esto__14_02__Construction__Energy_balance__PJ__Other_sources.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Others.html,Industry,esto__14_02__Construction,Energy balance (PJ),Others,charts/esto__14_02__Construction__Energy_balance__PJ__Others.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Solid_biomass.html,Industry,esto__14_02__Construction,Energy balance (PJ),Solid biomass,charts/esto__14_02__Construction__Energy_balance__PJ__Solid_biomass.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_02__Construction__Energy_balance__PJ__Total.html,Industry,esto__14_02__Construction,Energy balance (PJ),Total,charts/esto__14_02__Construction__Energy_balance__PJ__Total.html,sec-Industry_sector,Industry sector,direct,False
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Anthracite.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Anthracite,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Anthracite.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__BKB_PB.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),BKB/PB,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__BKB_PB.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Bagasse.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Bagasse,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Bagasse.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Bio_jet_kerosene.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Bio jet kerosene,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Bio_jet_kerosene.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biodiesel.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Biodiesel,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biodiesel.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biogas.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Biogas,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biogas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biogasoline.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Biogasoline,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Biogasoline.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Black_liqour.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Black liqour,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Black_liqour.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Blast_furnace_gas.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Blast furnace gas,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Blast_furnace_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Charcoal.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Charcoal,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Charcoal.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coal_nonspecified.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Coal nonspecified,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coal_nonspecified.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coal_tar.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Coal tar,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coal_tar.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coke_oven_coke.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Coke oven coke,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coke_oven_coke.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coke_oven_gas.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Coke oven gas,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Coke_oven_gas.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Electricity.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Electricity,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Electricity.html,sec-Industry_sector,Industry sector,direct,True
chart::charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuel_oil.html,Industry,esto__14_03_01__Iron_and_steel,Energy balance (PJ),Fuel oil,charts/esto__14_03_01__Iron_and_steel__Energy_balance__PJ__Fuel_oil.html,sec-Industry_sector,Industry sector,direct,True
